record_ref,location_id,value
REC001,LOC-001,$100.00
 rec_002 ,LOC-002,250.50
003,LOC-003,75
REC-004,LOC-004,125.00
REC-005,LOC-005,500
REC-006,LOC-006,99.99
REC-007,LOC-007,300.00
REC-007,LOC-007,300
REC-009,LOC-009,125.00
REC-010,LOC-010,800
REC-011,LOC-011,50.25
REC-012,LOC-012,600.00
REC-013,LOC-001,175
REC-014,LOC-002,$225.50
REC-015,LOC-003,90.00
REC-016,LOC-004,340
REC-017,LOC-005,410
REC-018,LOC-006,275.25
REC-019,LOC-007,999.99
REC-020,LOC-008,150
REC-021,LOC-009,325
REC-022,LOC-010,700.00
REC-023,LOC-011,45
REC-024,LOC-012,520
REC-025,LOC-001,115.00
REC-026,LOC-002,210
REC-027,LOC-003,330
REC-028,LOC-004,440
REC-029,LOC-005,550
REC-031,LOC-007,770
REC-032,LOC-008,880
REC-033,LOC-009,190
REC-034,LOC-010,290
REC-035,LOC-011,390
REC-036,LOC-012,490
REC-037,LOC-001,135.50
REC-038,LOC-002,235.50
REC-039,LOC-003,335.50
REC-040,LOC-004,435.50
REC-041,LOC-005,535.50
REC-042,LOC-006,635.50
REC-043,LOC-007,735.50
REC-044,LOC-008,835.50
REC-045,LOC-009,935.50
REC-046,LOC-010,145.50
REC-047,LOC-011,245.50
REC-048,LOC-012,345.50
REC-049,LOC-001,155
REC-050,LOC-002,255
REC-051,LOC-003,355
REC-052,LOC-004,455
REC-053,LOC-005,555
REC-054,LOC-006,655
REC-055,LOC-007,755
REC-056,LOC-008,855
REC-057,LOC-009,955
REC-058,LOC-010,165
REC-059,LOC-011,265
REC-060,LOC-012,N/A
REC-061,LOC-001,175.75
REC-062,LOC-002,275.75
REC-063,LOC-003,375.75
REC-064,LOC-004,475.75
REC-065,LOC-005,575.75
REC-066,LOC-006,675.75
REC-067,LOC-007,775.75
REC-068,LOC-008,875.75
REC-069,LOC-009,975.75
REC-070,LOC-010,185.75
REC-071,LOC-011,285.75
REC-072,LOC-012,385.75
REC-073,LOC-001,195.25
REC-074,LOC-002,295.25
REC-075,LOC-003,395.25
REC-076,LOC-004,495.25
REC-077,LOC-005,595.25
REC-078,LOC-006,695.25
REC-079,LOC-007,795.25
REC-080,LOC-008,895.25
REC-081,LOC-009,995.25
REC-082,LOC-010,205.25
REC-083,LOC-011,305.25
REC-084,LOC-012,405.25
REC-085,LOC-001,215
REC-086,LOC-002,315
REC-087,LOC-003,415
REC-088,LOC-004,515
REC-089,LOC-005,615
REC-090,LOC-006,715
REC-091,LOC-007,815
REC-092,LOC-008,915
REC-093,LOC-009,215
REC-094,LOC-010,315
REC-095,LOC-011,415
REC-096,LOC-012,515
REC-097,LOC-001,125.25
REC-098,LOC-002,225.25
REC-099,LOC-003,325.25
REC-100,LOC-004,430.25
REC-101,LOC-005,525.25
REC-102,LOC-006,625.25
REC-103,LOC-007,725.25
REC-104,LOC-008,825.25
REC-105,LOC-009,925.25
REC-106,LOC-010,135.25
REC-107,LOC-011,235.25
REC-108,LOC-012,335.25
REC-109,LOC-001,145
REC-110,LOC-002,245
REC-111,LOC-003,345
REC-112,LOC-004,445
REC-113,LOC-005,545
REC-114,LOC-006,645
REC-115,LOC-007,
REC-116,LOC-008,845
REC-117,LOC-009,945
REC-118,LOC-010,155
REC-119,LOC-011,255
REC-120,LOC-012,355
REC-999,LOC-012,800.00
